Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
observable0,8.500702,8.175054,1.923731,1.910306
gear0,0.662883,0.306579,0.037537,0.017926
StrutGear0,0.059509,0.033473,0.000691,0.000401
StrutGear1,0.228036,0.223595,0.007070,0.007070
pylon0,0.612923,0.338739,0.015375,0.008774
main_carry_through0,11.557514,10.950575,1.082126,1.058700
engine_pylon0,0.488550,0.378869,0.009457,0.007573
main_wing0,22.231627,21.922255,0.927640,0.927640
main_wing1,22.231627,21.922255,0.927640,0.927640
v-tail0,9.935753,9.540151,0.283126,0.280709
landing_pods0,3.201876,3.106522,0.301333,0.301333
landing_pods1,3.201876,3.106522,0.301333,0.301333
StrutGear0,0.729763,0.017140,0.021089,0.000511
StrutGear1,0.308587,0.000000,0.010468,0.000000
StrutGear2,0.729763,0.017140,0.021089,0.000511
StrutGear3,0.308587,0.000000,0.010468,0.000000
Totals,84.989579,80.038867,5.880171,5.750435
