Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
main_wing0,427.412492,377.182772,54.555581,-nan
tail0,58.661247,58.625413,2.757907,-nan
fuselage0,165.400498,159.072153,74.708329,-nan
rear_gear0,0.854037,0.609188,0.039342,-nan
rear_gear1,1.829160,0.917082,0.151256,-nan
rear_gear2,1.829160,0.921738,0.151256,-nan
rear_gear3,0.854037,0.610782,0.039342,-nan
rear_gear4,1.829160,1.758421,0.151256,-nan
rear_gear5,1.829160,1.758421,0.151256,-nan
front_gear0,0.600203,0.521072,0.026728,-nan
front_gear1,0.709537,0.346301,0.032791,-nan
front_gear2,0.709537,0.638616,0.032791,-nan
MeshGeom1,3.516213,1.741856,0.346858,-nan
MeshGeom2,3.516213,1.629560,0.252880,-nan
MeshGeom3,0.000000,0.000000,0.000000,-nan
MeshGeom4,0.000000,0.000000,0.000000,-nan
MeshGeom5,0.000000,0.000000,0.000000,-nan
MeshGeom1,1.277232,0.646556,0.062947,-nan
MeshGeom2,0.000000,0.000000,0.000000,-nan
MeshGeom3,0.000000,0.000000,0.000000,-nan
MeshGeom4,0.000000,0.000000,0.000000,-nan
MeshGeom5,0.000000,0.000000,0.000000,-nan
MeshGeom2,0.000000,0.000000,0.000000,-nan
Totals,670.827884,606.979931,133.460521,124.792930
